"SYSTEM", "1", "SYSTEM", "System Start", " "
"Thread-3", "228", "seminar_test/Elevator_Scheduler.java:94", "Field Read", " context=seminar_test.Person:3, from"
"Thread-2", "229", "seminar_test/Elevator_Scheduler.java:94", "Field Read", " context=seminar_test.Person:2, to"
"Thread-1", "230", "seminar_test/Elevator_Scheduler.java:96", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=96"
"main", "231", "seminar_test/Elevator_Scheduler.java:41", "Method Exit", " returner=seminar_test.Elevator_Scheduler#main:1, value=<void>"
"Thread-0", "232", "seminar_test/Elevator_Scheduler.java:305", "Method Call", " caller=seminar_test.Scheduler:1#run:1, target=seminar_test.Scheduler:1#schedule:1"
"Thread-0", "233", "seminar_test/Elevator_Scheduler.java:151", "Method Entered", " "
"Thread-0", "234", "seminar_test/Elevator_Scheduler.java:154", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=154"
"Thread-6", "235", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:6, from"
"Thread-5", "236", "seminar_test/Elevator_Scheduler.java:94", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=94"
"Thread-4", "237", "seminar_test/Elevator_Scheduler.java:94", "Field Read", " context=seminar_test.Person:4, from"
